flight_id,airline,origin,destination,departure,arrival,price,seats
AI101,Air India,DEL,DXB,09:20,13:23,19500,16
AI104,Air India,COK,BOM,18:35,20:48,5400,39
SV101,Saudia,CCJ,JED,07:25,12:00,25800,34
BA103,British Airways,BOM,LHR,12:10,21:22,63300,36
SV103,Saudia,CCJ,JED,09:25,14:32,22100,12
6E102,IndiGo,DEL,KUL,05:15,10:53,20500,23
6E104,IndiGo,COK,DEL,12:15,15:08,9000,24
AI105,Air India,BOM,LHR,09:05,18:34,46100,26
6E106,IndiGo,COK,AUH,19:40,23:23,17200,6
AI106,Air India,COK,DOH,02:40,06:28,18800,8
6E108,IndiGo,CCJ,DXB,05:30,09:18,21900,24
SG102,SpiceJet,COK,MAA,02:25,03:40,5500,42
SG105,SpiceJet,COK,BLR,05:30,06:37,5100,26
6E111,IndiGo,TRV,DXB,07:25,11:30,21800,5
6E113,IndiGo,COK,HYD,09:05,10:57,4800,15
UK103,Vistara,BLR,LHR,03:35,13:45,66500,33
6E114,IndiGo,CCJ,DXB,04:45,08:26,19800,37
6E117,IndiGo,BLR,DXB,14:35,18:33,26600,27
6E118,IndiGo,TRV,DEL,16:50,20:01,6200,5
WY101,Oman Air,COK,MCT,05:25,09:00,20900,40
IX102,Air India Express,COK,AUH,18:00,21:49,18100,37
WY104,Oman Air,COK,MCT,03:50,07:28,18400,43
AI108,Air India,TRV,BOM,05:20,07:28,7100,2
6E121,IndiGo,MAA,SIN,06:05,10:29,24300,8
IX104,Air India Express,COK,MCT,17:15,20:56,17300,11
6E124,IndiGo,TRV,DEL,18:05,21:24,9600,2
AI110,Air India,BOM,LHR,01:50,10:51,53900,21
6E125,IndiGo,COK,HYD,02:40,04:38,4800,33
KU103,Kuwait Airways,COK,KWI,04:20,08:43,26300,37
AI113,Air India,COK,BLR,14:25,15:44,4100,36
6E128,IndiGo,HYD,DXB,10:35,14:21,22000,44
6E130,IndiGo,DEL,DXB,17:35,21:43,22900,9
6E131,IndiGo,COK,HYD,00:40,02:30,6900,37
UK104,Vistara,COK,HYD,02:25,04:05,7400,42
QR101,Qatar Airways,COK,DOH,11:15,14:47,16200,34
AI116,Air India,COK,HYD,07:15,09:10,6700,10
6E132,IndiGo,MAA,SIN,16:05,20:30,22700,14
6E135,IndiGo,COK,DEL,12:05,15:08,7200,28
EY103,Etihad,CNN,AUH,03:20,07:00,15500,27
6E136,IndiGo,MAA,SIN,06:30,10:37,19100,36
EY105,Etihad,CNN,AUH,09:30,12:55,22100,17
WY106,Oman Air,COK,MCT,18:45,22:25,15600,5
AI117,Air India,DEL,DXB,08:00,12:09,18200,28
IX105,Air India Express,CNN,DXB,02:00,05:45,17700,26
G9102,Air Arabia,COK,DXB,09:40,13:29,22900,37
AI119,Air India,DEL,SIN,06:25,11:59,23900,15
AI122,Air India,COK,DOH,02:00,06:04,20100,5
AI124,Air India,COK,DOH,18:05,22:07,17600,5
SQ101,Singapore Airlines,BLR,SIN,02:15,06:47,21900,27
AI127,Air India,COK,DEL,01:20,04:29,8000,7
IX107,Air India Express,CCJ,JED,10:40,15:23,25900,18
IX110,Air India Express,CCJ,DXB,15:35,19:19,21000,6
G9105,Air Arabia,COK,DXB,03:20,07:16,17200,36
SG107,SpiceJet,COK,MAA,11:50,12:49,3300,17
AI128,Air India,TRV,DEL,18:30,21:39,8700,21
VS103,Virgin Atlantic,BOM,LHR,11:20,20:20,60200,21
UK105,Vistara,BLR,LHR,02:15,12:45,53700,9
WY109,Oman Air,TRV,MCT,05:15,08:52,19000,20
BA106,British Airways,BOM,LHR,03:25,12:46,64500,42
6E139,IndiGo,COK,MCT,08:30,12:00,14800,7
SG109,SpiceJet,DEL,DXB,00:05,03:46,21000,10
6E140,IndiGo,DEL,DXB,15:00,19:03,22500,37
AI129,Air India,COK,DXB,18:35,22:04,16600,25
6E141,IndiGo,BOM,DXB,04:20,07:43,16700,21
6E143,IndiGo,TRV,DEL,08:30,11:31,8500,8
UK107,Vistara,TRV,DEL,05:15,08:29,9600,17
WY110,Oman Air,COK,MCT,14:00,17:43,14400,13
6E145,IndiGo,MAA,SIN,08:25,12:50,20400,12
SV105,Saudia,COK,RUH,16:00,20:12,22600,14
IX112,Air India Express,COK,KWI,07:45,12:19,22200,3
SQ103,Singapore Airlines,DEL,SIN,09:30,15:10,20100,19
UK110,Vistara,TRV,DEL,18:15,21:22,7200,3
UK111,Vistara,COK,DEL,09:00,12:08,5700,8
AI131,Air India,BOM,LHR,07:25,16:45,61900,34
SG112,SpiceJet,COK,DEL,08:40,11:36,5700,29
EY108,Etihad,COK,DXB,12:25,15:57,23100,6
6E148,IndiGo,DEL,SIN,04:15,09:55,23900,34
IX114,Air India Express,TRV,DOH,10:05,14:05,17600,14
IX117,Air India Express,CCJ,JED,10:15,14:56,28700,37
KU105,Kuwait Airways,COK,KWI,07:10,11:43,25500,39
VS105,Virgin Atlantic,BOM,LHR,07:30,16:59,56500,45
SG114,SpiceJet,COK,MAA,22:25,23:25,3300,20
6E149,IndiGo,BLR,SIN,08:00,12:56,23100,16
SV106,Saudia,COK,RUH,01:30,05:41,23000,32
BA108,British Airways,BOM,LHR,10:40,20:06,60900,14
IX119,Air India Express,DEL,KUL,13:35,19:20,21000,11
AI132,Air India,DEL,DXB,14:30,18:34,19100,13
IX120,Air India Express,COK,RUH,08:30,13:15,21000,31
SG117,SpiceJet,COK,BOM,19:00,21:06,7400,22
AI135,Air India,HYD,DXB,17:10,21:16,22500,37
EY111,Etihad,CNN,AUH,16:10,19:57,21900,18
EK103,Emirates,HYD,DXB,17:45,21:33,23400,42
AI137,Air India,COK,HYD,09:45,11:27,5500,19
6E152,IndiGo,TRV,BOM,04:40,06:37,5800,16
IX123,Air India Express,CCJ,DXB,02:10,05:48,22600,28
UK113,Vistara,TRV,BOM,02:05,04:13,6000,28
IX126,Air India Express,CCJ,DXB,16:15,20:04,15900,24
IX128,Air India Express,TRV,DOH,18:35,22:44,19100,33
AI139,Air India,COK,HYD,00:55,02:50,6100,23
AI141,Air India,DEL,SIN,05:35,11:28,26700,10
