package_id,name,destination,duration_days,price,hotel,inclusions,exclusions
PKG001,Bali Island Getaway 5D/4N Tour Package,Bali Island Getaway,5,64000,Grand Hyatt Bali,Sunset cruise; All applicable hotel taxes; Airport transfers; Sightseeing as per itinerary,Early check-in/late check-out charges; International/domestic airfare (unless mentioned); GST and other government taxes over quoted price
PKG002,Explore Wayanad - 3D/2N,"Wayanad, Kerala",3,9000,Wayanad Wild Resort,Airport transfers; All applicable hotel taxes; English-speaking local guide; Return economy class flights,"Early check-in/late check-out charges; Visa fees; Personal expenses (laundry, phone, minibar)"
PKG003,Kovalam Beach 4D/3N Holiday Package,"Kovalam Beach, Kerala",4,17500,Leela Kovalam,"Bonfire and cultural evening; Daily breakfast; All meals (breakfast, lunch & dinner); English-speaking local guide",Travel insurance; GST and other government taxes over quoted price; Visa fees; Tips and porterage; Anything not specifically mentioned in inclusions
PKG004,Explore Darjeeling & Gangtok - 6D/5N,Darjeeling & Gangtok,6,34500,Mayfair Darjeeling,Return economy class flights; Private air-conditioned vehicle for transfers; Half board meals (breakfast & dinner); Welcome drink on arrival,Entry fees to monuments not listed in itinerary; GST and other government taxes over quoted price; Optional excursions and activities; Lunch not specified in itinerary; Any meals not mentioned in inclusions
PKG005,Magical London & Edinburgh - 8D/7N,"London & Edinburgh, UK",8,152500,The Rubens at the Palace,"Visa assistance; Half board meals (breakfast & dinner); Airport transfers; Private air-conditioned vehicle for transfers; All meals (breakfast, lunch & dinner)",GST and other government taxes over quoted price; Any meals not mentioned in inclusions; Lunch not specified in itinerary; Entry fees to monuments not listed in itinerary; Tips and porterage
PKG006,Explore Thekkady - 2D/1N,"Thekkady, Kerala",2,6500,Cardamom County Resort,Welcome drink on arrival; English-speaking local guide; Return economy class flights; One-day city tour with entry tickets; Airport transfers; All applicable hotel taxes,Early check-in/late check-out charges; Lunch not specified in itinerary; Entry fees to monuments not listed in itinerary
PKG007,Sri Lanka Highlights (Colombo-Kandy-Ella) Honeymoon Special - 6 Days,Sri Lanka Highlights (Colombo-Kandy-Ella),6,39500,Heritance Kandalama,Welcome drink on arrival; Snorkeling or water sports session; One-day city tour with entry tickets; Airport transfers,International/domestic airfare (unless mentioned); Tips and porterage; Early check-in/late check-out charges; Any meals not mentioned in inclusions
PKG008,Phuket Island Escape Honeymoon Special - 5 Days,Phuket Island Escape,5,54000,Patong Beach Hotel,"Private air-conditioned vehicle for transfers; Airport transfers; Welcome drink on arrival; Return economy class flights; Half board meals (breakfast & dinner); All meals (breakfast, lunch & dinner)","Travel insurance; Personal expenses (laundry, phone, minibar); Optional excursions and activities"
PKG009,Istanbul 5D/4N Tour Package,"Istanbul, Turkey",5,63500,Titanic Business Hotel Istanbul,"All meals (breakfast, lunch & dinner); Daily breakfast; English-speaking local guide; All applicable hotel taxes; Travel insurance; Visa assistance; Sightseeing as per itinerary","Entry fees to monuments not listed in itinerary; Optional excursions and activities; Personal expenses (laundry, phone, minibar); Travel insurance; Visa fees"
PKG010,Explore Rajasthan Heritage (Jaipur-Udaipur-Jodhpur) - 6D/5N,Rajasthan Heritage (Jaipur-Udaipur-Jodhpur),6,35500,Ramada Udaipur,"Bonfire and cultural evening; Private air-conditioned vehicle for transfers; Daily breakfast; All meals (breakfast, lunch & dinner)",Tips and porterage; International/domestic airfare (unless mentioned); Travel insurance; Optional excursions and activities
PKG011,Magical Thailand Bangkok & Pattaya - 6D/5N,Thailand Bangkok & Pattaya,6,64500,Amari Watergate Bangkok,One-day city tour with entry tickets; All applicable hotel taxes; English-speaking local guide; Private air-conditioned vehicle for transfers,Optional excursions and activities; Anything not specifically mentioned in inclusions; Visa fees; Any meals not mentioned in inclusions
PKG012,Magical Jeddah & Makkah Umrah Package - 5D/4N,Jeddah & Makkah Umrah Package,7,67000,Swissotel Al Maqam Makkah,Sightseeing as per itinerary; Airport transfers; Travel insurance; Private air-conditioned vehicle for transfers; Return economy class flights,Visa fees; International/domestic airfare (unless mentioned); Early check-in/late check-out charges; Travel insurance
PKG013,Goa Beaches Family Getaway - 4 Days,Goa Beaches,4,14500,Cidade de Goa,Private air-conditioned vehicle for transfers; English-speaking local guide; Daily breakfast; One-day city tour with entry tickets,Tips and porterage; Lunch not specified in itinerary; Early check-in/late check-out charges
PKG014,Magical Paris & Swiss Alps Europe Tour - 8D/7N,Paris & Swiss Alps Europe Tour,8,239500,Novotel Paris Centre,"Welcome drink on arrival; Travel insurance; All meals (breakfast, lunch & dinner); Airport transfers; Daily breakfast; Travel insurance; Sightseeing as per itinerary",Anything not specifically mentioned in inclusions; Tips and porterage; Any meals not mentioned in inclusions; Travel insurance
PKG015,Alleppey Backwaters 2D/1N Holiday Package,"Alleppey Backwaters, Kerala",2,9000,Kayaloram Lake Resort,"All applicable hotel taxes; Return economy class flights; Hill-station sightseeing with entry tickets; Houseboat overnight stay; All meals (breakfast, lunch & dinner)",Entry fees to monuments not listed in itinerary; Visa fees; Tips and porterage; GST and other government taxes over quoted price; Lunch not specified in itinerary
PKG016,Magical Sri Lanka Highlights (Colombo-Kandy-Ella) - 5D/4N,Sri Lanka Highlights (Colombo-Kandy-Ella),5,39000,Heritance Kandalama,Sunset cruise; English-speaking local guide; Snorkeling or water sports session; Half board meals (breakfast & dinner); Island-hopping cruise excursion,GST and other government taxes over quoted price; Any meals not mentioned in inclusions; Lunch not specified in itinerary
PKG017,Alleppey Backwaters 2D/1N Holiday Package,"Alleppey Backwaters, Kerala",2,10000,Punnamada Backwater Resort,Houseboat overnight stay; Private air-conditioned vehicle for transfers; Sightseeing as per itinerary; Welcome drink on arrival; Hill-station sightseeing with entry tickets; One-day city tour with entry tickets,"Visa fees; Personal expenses (laundry, phone, minibar); Anything not specifically mentioned in inclusions"
